Id,ActivityMinute,Calories,Date
7007744171,2016-04-27 03:02:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:03:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:04:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:05:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:06:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:07:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:08:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:09:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:10:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:11:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:12:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:13:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:14:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:15:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:16:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:17:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:18:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:19:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:20:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:21:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:22:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:23:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:24:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:25:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:26:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:27:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:28:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:29:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:30:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:31:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:32:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:33:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:34:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:35:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:36:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:37:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:38:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:39:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:40:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:41:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:42:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:43:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:44:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:45:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:46:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:47:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:48:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:49:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:50:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:51:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:52:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:53:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:54:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:55:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:56:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:57:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:58:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 03:59:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:00:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:01:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:02:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:03:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:04:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:05:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:06:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:07:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:08:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:09:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:10:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:11:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:12:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:13:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:14:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:15:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:16:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:17:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:18:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:19:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:20:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:21:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:22:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:23:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:24:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:25:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:26:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:27:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:28:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:29:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:30:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:31:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:32:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:33:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:34:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:35:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:36:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:37:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:38:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:39:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:40:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:41:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:42:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:43:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:44:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:45:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:46:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:47:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:48:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:49:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:50:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:51:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:52:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:53:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:54:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:55:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:56:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:57:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:58:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 04:59:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:00:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:01:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:02:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:03:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:04:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:05:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:06:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:07:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:08:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:09:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:10:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:11:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:12:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:13:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:14:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:15:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:16:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:17:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:18:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:19:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:20:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:21:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:22:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:23:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:24:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:25:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:26:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:27:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:28:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:29:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:30:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:31:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:32:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:33:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:34:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:35:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:36:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:37:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:38:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:39:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:40:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:41:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:42:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:43:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:44:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:45:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:46:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:47:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:48:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:49:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:50:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:51:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:52:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:53:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:54:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:55:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:56:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:57:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:58:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 05:59:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:00:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:01:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:02:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:03:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:04:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:05:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:06:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:07:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:08:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:09:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:10:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:11:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:12:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:13:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:14:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:15:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:16:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:17:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:18:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:19:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:20:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 06:21:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 06:22:00,2.59488010406494,2016-04-27
7007744171,2016-04-27 06:23:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 06:24:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 06:25:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 06:26:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:27:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:28:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:29:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 06:30:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 06:31:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 06:32:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 06:33:00,2.59488010406494,2016-04-27
7007744171,2016-04-27 06:34:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 06:35:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 06:36:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 06:37:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 06:38:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 06:39:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 06:40:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 06:41:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 06:42:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 06:43:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:44:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 06:45:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 06:46:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 06:47:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:48:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 06:49:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 06:50:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 06:51:00,5.62224006652832,2016-04-27
7007744171,2016-04-27 06:52:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 06:53:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 06:54:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 06:55:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 06:56:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 06:57:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 06:58:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 06:59:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:00:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:01:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 07:02:00,2.59488010406494,2016-04-27
7007744171,2016-04-27 07:03:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 07:04:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 07:05:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 07:06:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:07:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:08:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 07:09:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:10:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 07:11:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:12:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 07:13:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:14:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 07:15:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 07:16:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:17:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 07:18:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:19:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 07:20:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 07:21:00,3.02735996246338,2016-04-27
7007744171,2016-04-27 07:22:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 07:23:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 07:24:00,1.6217999458313,2016-04-27
7007744171,2016-04-27 07:25:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:26:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:27:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:28:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 07:29:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 07:30:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 07:31:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:32:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 07:33:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:34:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:35:00,2.59488010406494,2016-04-27
7007744171,2016-04-27 07:36:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:37:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 07:38:00,1.29744005203247,2016-04-27
7007744171,2016-04-27 07:39:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 07:40:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:41:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:42:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:43:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 07:44:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:45:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:46:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:47:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:48:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:49:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:50:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 07:51:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:52:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:53:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:54:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:55:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 07:56:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:57:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 07:58:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 07:59:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 08:00:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 08:01:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 08:02:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 08:03:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 08:04:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 08:05:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 08:06:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 08:07:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 08:08:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 08:09:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 08:10:00,4.54103994369507,2016-04-27
7007744171,2016-04-27 08:11:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:12:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:13:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:14:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:15:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:16:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:17:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:18:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:19:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:20:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:21:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:22:00,6.27095985412598,2016-04-27
7007744171,2016-04-27 08:23:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:24:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:25:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:26:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:27:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:28:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:29:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:30:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:31:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:32:00,7.13592004776001,2016-04-27
7007744171,2016-04-27 08:33:00,7.13592004776001,2016-04-27
7007744171,2016-04-27 08:34:00,5.62224006652832,2016-04-27
7007744171,2016-04-27 08:35:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:36:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:37:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:38:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:39:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:40:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:41:00,7.13592004776001,2016-04-27
7007744171,2016-04-27 08:42:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:43:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:44:00,6.27095985412598,2016-04-27
7007744171,2016-04-27 08:45:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:46:00,6.27095985412598,2016-04-27
7007744171,2016-04-27 08:47:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:48:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:49:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:50:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 08:51:00,7.13592004776001,2016-04-27
7007744171,2016-04-27 08:52:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:53:00,7.35215997695923,2016-04-27
7007744171,2016-04-27 08:54:00,7.13592004776001,2016-04-27
7007744171,2016-04-27 08:55:00,7.56839990615845,2016-04-27
7007744171,2016-04-27 08:56:00,8.21712017059326,2016-04-27
7007744171,2016-04-27 08:57:00,6.91968011856079,2016-04-27
7007744171,2016-04-27 08:58:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 08:59:00,6.27095985412598,2016-04-27
7007744171,2016-04-27 09:00:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 09:01:00,6.70344018936157,2016-04-27
7007744171,2016-04-27 09:02:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 09:03:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 09:04:00,4.75727987289429,2016-04-27
7007744171,2016-04-27 09:05:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 09:06:00,4.75727987289429,2016-04-27
7007744171,2016-04-27 09:07:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 09:08:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 09:09:00,4.54103994369507,2016-04-27
7007744171,2016-04-27 09:10:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 09:11:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 09:12:00,4.75727987289429,2016-04-27
7007744171,2016-04-27 09:13:00,4.54103994369507,2016-04-27
7007744171,2016-04-27 09:14:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 09:15:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:16:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:17:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:18:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:19:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:20:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:21:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:22:00,1.08120000362396,2016-04-27
7007744171,2016-04-27 09:23:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 09:24:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 09:25:00,6.05471992492676,2016-04-27
7007744171,2016-04-27 09:26:00,5.62224006652832,2016-04-27
7007744171,2016-04-27 09:27:00,5.4060001373291,2016-04-27
7007744171,2016-04-27 09:28:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 09:29:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:30:00,3.67607998847961,2016-04-27
7007744171,2016-04-27 09:31:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 09:32:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 09:33:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 09:34:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:35:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:36:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 09:37:00,5.4060001373291,2016-04-27
7007744171,2016-04-27 09:38:00,1.6217999458313,2016-04-27
7007744171,2016-04-27 09:39:00,4.00044012069702,2016-04-27
7007744171,2016-04-27 09:40:00,4.75727987289429,2016-04-27
7007744171,2016-04-27 09:41:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 09:42:00,5.18976020812988,2016-04-27
7007744171,2016-04-27 09:43:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 09:44:00,4.10856008529663,2016-04-27
7007744171,2016-04-27 09:45:00,5.4060001373291,2016-04-27
7007744171,2016-04-27 09:46:00,6.4871997833252,2016-04-27
7007744171,2016-04-27 09:47:00,5.4060001373291,2016-04-27
7007744171,2016-04-27 09:48:00,3.35172009468079,2016-04-27
7007744171,2016-04-27 09:49:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:50:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:51:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 09:52:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:53:00,1.40556001663208,2016-04-27
7007744171,2016-04-27 09:54:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 09:55:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 09:56:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 09:57:00,2.59488010406494,2016-04-27
7007744171,2016-04-27 09:58:00,1.18931996822357,2016-04-27
7007744171,2016-04-27 09:59:00,2.81112003326416,2016-04-27
7007744171,2016-04-27 10:00:00,3.4598400592804,2016-04-27
7007744171,2016-04-27 10:01:00,4.32480001449585,2016-04-27
7007744171,2016-04-27 10:02:00,3.89231991767883,2016-04-27
7007744171,2016-04-27 10:03:00,3.2435998916626,2016-04-27
7007744171,2016-04-27 10:04:00,3.4598400592804,2016-04-27
